상호명,주소,카테고리_대,카테고리_소,위도,경도
용산스포츠토토방&씨스페이스한강로,서울특별시 용산구 한강대로17길 24 24,생활/편의,편의점,37.5267440736637,126.963549520436
허브한의원,서울특별시 강남구 논현로93길 4 4,의료,한의원,37.5021739058258,127.035771283704
경일세탁소,서울특별시 동작구 여의대방로24길 97 97,생활/편의,세탁소,37.4990112821675,126.925441001193
형제슈퍼,서울특별시 동작구 사당로23바길 10 10,생활/편의,슈퍼마켓,37.4899400373988,126.970781561592
에이스,서울특별시 강남구 삼성로58길 11 11,운동 시설,골프 연습장,37.4988111994611,127.062209611299
도르라핏,서울특별시 송파구 중대로 132 132 후니드빌딩,운동 시설,헬스장,37.4943218465544,127.122749465124
김수연교정요가,서울특별시 은평구 갈현로33길 21-1 21,운동 시설,요가/필라테스 학원,37.6212056134082,126.913901225997
혜성상회,서울특별시 중구 을지로32길 5 5,생활/편의,슈퍼마켓,37.5663576141347,127.000407483507
세븐일레븐공릉도깨비점,서울특별시 노원구 동일로182길 40 40,생활/편의,편의점,37.6231764772602,127.076347989593
푸른이비인후과의원,서울특별시 마포구 독막로 2 2,의료,이비인후과 의원,37.5484952926837,126.913634123516
세일마트,서울특별시 마포구 백범로 132 132,생활/편의,슈퍼마켓,37.546090651164,126.945581737007
중국식품점,서울특별시 동작구 신대방길 24 24,생활/편의,반찬/식료품 소매업,37.488153402057,126.911317827678
가로판매대,서울특별시 은평구 통일로 863 863,생활/편의,반찬/식료품 소매업,37.6200205999692,126.919996579833
삼양사,서울특별시 중랑구 면목로66길 16 16,생활/편의,세탁소,37.5865062930276,127.089059130164
ONE마트,서울특별시 영등포구 경인로 833 833,생활/편의,슈퍼마켓,37.516197014647,126.905278298582
매점,서울특별시 중구 다산로 293 293 디오트상가,생활/편의,슈퍼마켓,37.569158760397,127.01498689902
지유명차인사점,서울특별시 종로구 인사동길 12 12 대일빌딩,생활/편의,반찬/식료품 소매업,37.5718890370006,126.987231239259
마이의원,서울특별시 강남구 도산대로45길 11 11 주명빌딩,의료,내과/소아과 의원,37.5230503356251,127.035226938967
